Classification,Patents count,Patent numbers
F16L43,2,"US20240003477, US20240167607"
G08C15,2,"US20240005777, US20240169825"
A01K93,2,"US20240008467, US20240196877"
A01K81,2,"US20240008464, US20240081303"
A63B61,2,"US20240009544, US20240100408"
B01J12,2,"US20240009643, US20240190791"
F23C10,2,"US20240009705, US20240093865"
B66B23,2,"US20240010468, US20240166473"
C07B63,2,"US20240010916, US20240239753"
C22C32,2,"US20240011132, US20240158889"
F16D51,2,"US20240011532, US20240068533"
A23C3,2,"US20240016169, US20240188581"
A47B77,2,"US20240016289, US20240251944"
B21C25,2,"US20240017313, US20240082897"
B25B29,2,"US20240017386, US20240083001"
C07C31,2,"US20240018078, US20240140894"
D03D13,2,"US20240018701, US20240175173"
F16B15,2,"US20240018987, US20240183378"
B26B25,2,"US20240025069, US20240208459"
C11D9,2,"US20240026252, US20240150684"
C12Y305,2,"US20240026443, US20240165196"
D21D99,2,"US20240026606, US20240122231"
G08B26,2,"US20240029543, US20240169823"
A41D20,2,"US20240032631, US20240197011"
B01D49,2,"US20240033676, US20240123390"
F04B11,2,"US20240035495, US20240141879"
F24B3,2,"US20240035662, US20240125477"
G08C19,2,"US20240036569, US20240127692"
B01J10,2,"US20240042408, US20240246053"
B43L7,2,"US20240042792, US20240142209"
B43K23,2,"US20240042789, US20240096557"
B60G5,2,"US20240042818, US20240051363"
C07C319,2,"US20240043377, US20240150281"
C12Y204,2,"US20240043844, US20240091228"
G01V13,2,"US20240045098, US20240134086"
B28C7,2,"US20240047020, US20240165850"
B23H1,2,"US20240051049, US20240201712"
F04C11,2,"US20240051367, US20240218873"
D06F63,2,"US20240052553, US20240167217"
E01H4,2,"US20240052587, US20240150982"
C07C215,2,"US20240057587, US20240190807"
F24F9,2,"US20240058630, US20240210057"
A63B49,2,"US20240058656, US20240091597"
A63B33,2,"US20240058653, US20240173594"
B23B39,2,"US20240058873, US20240198475"
B62D17,2,"US20240059353, US20240253699"
F02M27,2,"US20240060462, US20240183327"
B62L5,2,"US20240060562, US20240174319"
H01T23,2,"US20240062982, US20240079857"
A01L5,2,"US20240065250, US20240251773"
A47B87,2,"US20240065465, US20240138563"
A63B9,2,"US20240066342, US20240238635"
A63D15,2,"US20240066385, US20240207715"
A63H11,2,"US20240066420, US20240189992"
C11B1,2,"US20240066431, US20240228907"
C10G31,2,"US20240066427, US20240191145"
D21D5,2,"US20240066527, US20240110333"
B42D9,2,"US20240066908, US20240123753"
B60K31,2,"US20240066984, US20240208328"
B61G5,2,"US20240067238, US20240140500"
B63B19,2,"US20240067306, US20240101226"
B63C1,2,"US20240067315, US20240101233"
B65C11,2,"US20240067383, US20240199268"
B65H16,2,"US20240067478, US20240253925"
E01D21,2,"US20240068183, US20240093443"
E05D1,2,"US20240068285, US20240093543"
F16B29,2,"US20240068506, US20240159263"
F16H33,2,"US20240068551, US20240229908"
F23B1,2,"US20240068658, US20240167677"
F24H8,2,"US20240068707, US20240219071"
F25C3,2,"US20240068729, US20240255205"
F41F3,2,"US20240068774, US20240093964"
G01H11,2,"US20240068865, US20240151576"
